Orth,Phon
a1,a
a2,á
a3,à
ah4,ah
ap4,ap
at4,at
ak4,ak
a5,â
a6,ǎ
a7,ā
ah8,a̍h
ap8,a̍p
at8,a̍t
ak8,a̍k
a9,a̋
e1,e
e2,é
e3,è
eh4,eh
e5,ê
e6,ě
e7,ē
eh8,e̍h
e9,e̋
i1,i
i2,í
i3,ì
ih4,ih
ip4,ip
it4,it
ik4,ik
i5,î
i6,ǐ
i7,ī
ih8,i̍h
ip8,i̍p
it8,i̍t
ik8,i̍k
i9,i̋
oo1,oo
oo2,óo
oo3,òo
ooh4,ooh
oop4,oop
oot4,oot
ook4,ook
oo5,ôo
oo6,ǒo
oo7,ōo
ooh8,o̍oh
oop8,o̍op
oot8,o̍ot
ook8,o̍ok
oo9,őo
o1,o
o2,ó
o3,ò
oh4,oh
op4,op
ot4,ot
ok4,ok
o5,ô
o6,ǒ
o7,ō
oh8,o̍h
op8,o̍p
ot8,o̍t
ok8,o̍k
o9,ő
u1,u
u2,ú
u3,ù
uh4,uh
up4,up
ut4,ut
uk4,uk
u5,û
u6,ǔ
u7,ū
uh8,u̍h
up8,u̍p
ut8,u̍t
uk8,u̍k
u9,ű
ai1,ai
ai2,ái
ai3,ài
aih4,aih
aip4,aip
ait4,ait
aik4,aik
ai5,âi
ai6,ǎi
ai7,āi
aih8,a̍ih
aip8,a̍ip
ait8,a̍it
aik8,a̍ik
ai9,a̋i
au1,au
au2,áu
au3,àu
aup4,aup
aut4,aut
auk4,auk
au5,âu
au6,ǎu
au7,āu
aup8,a̍up
aut8,a̍ut
auk8,a̍uk
au9,a̋u
ia1,ia
ia2,iá
ia3,ià
ia5,iâ
ia6,iǎ
ia7,iā
ia9,ia̋
io1,io
io2,ió
io3,iò
iop4,iop
iot4,iot
io5,iô
io6,iǒ
io7,iō
iop8,io̍p
iot8,io̍t
io9,iő
iu1,iu
iu2,iú
iu3,iù
iup4,iup
iut4,iut
iuk4,iuk
iu5,iû
iu6,iǔ
iu7,iū
iup8,iu̍p
iut8,iu̍t
iuk8,iu̍k
iu9,iű
ua1,ua
ua2,uá
ua3,uà
uah4,uah
uap4,uap
uak4,uak
ua5,uâ
ua6,uǎ
ua7,uā
uah8,ua̍h
uap8,ua̍p
uak8,ua̍k
ua9,ua̋
ue1,ue
ue2,ué
ue3,uè
ueh4,ueh
uep4,uep
uet4,uet
uek4,uek
ue5,uê
ue6,uě
ue7,uē
ueh8,ue̍h
uep8,ue̍p
uet8,ue̍t
uek8,ue̍k
ue9,ue̋
ui1,ui
ui2,uí
ui3,uì
uip4,uip
uit4,uit
uik4,uik
ui5,uî
ui6,uǐ
ui7,uī
uip8,ui̍p
uit8,ui̍t
uik8,ui̍k
ui9,ui̋
iau1,iau
iau2,iáu
iau3,iàu
iaup4,iaup
iaut4,iaut
iauk4,iauk
iau5,iâu
iau6,iǎu
iau7,iāu
iaup8,ia̍up
iaut8,ia̍ut
iauk8,ia̍uk
iau9,ia̋u
uai1,uai
uai2,uái
uai3,uài
uaih4,uaih
uaip4,uaip
uait4,uait
uaik4,uaik
uai5,uâi
uai6,uǎi
uai7,uāi
uaih8,ua̍ih
uaip8,ua̍ip
uait8,ua̍it
uaik8,ua̍ik
uai9,ua̋i
ann1,ann
ann2,ánn
ann3,ànn
ann5,ânn
ann6,ǎnn
ann7,ānn
ann9,a̋nn
enn1,enn
enn2,énn
enn3,ènn
enn5,ênn
enn6,ěnn
enn7,ēnn
enn9,e̋nn
inn1,inn
inn2,ínn
inn3,ìnn
inn5,înn
inn6,ǐnn
inn7,īnn
inn9,i̋nn
onn1,onn
onn2,ónn
onn3,ònn
onnh4,onnh
onn5,ônn
onn6,ǒnn
onn7,ōnn
onnh8,o̍nnh
onn9,őnn
ainn1,ainn
ainn2,aínn
ainn3,aìnn
ainnh4,ainnh
ainn5,aînn
ainn6,aǐnn
ainn7,aīnn
ainnh8,ai̍nnh
ainn9,ai̋nn
iann1,iann
iann2,iánn
iann3,iànn
iannh4,iannh
iann5,iânn
iann6,iǎnn
iann7,iānn
iannh8,ia̍nnh
iann9,ia̋nn
iaunn1,iaunn
iaunn2,iáunn
iaunn3,iàunn
iaunnh4,iaunnh
iaunn5,iâunn
iaunn6,iǎunn
iaunn7,iāunn
iaunnh8,ia̍unnh
iaunn9,ia̋unn
iunn1,iunn
iunn2,iúnn
iunn3,iùnn
iunnh4,iunnh
iunn5,iûnn
iunn6,iǔnn
iunn7,iūnn
iunnh8,iu̍nnh
iunn9,iűnn
uann1,uann
uann2,uánn
uann3,uànn
uannh4,uannh
uann5,uânn
uann6,uǎnn
uann7,uānn
uannh8,ua̍nnh
uann9,ua̋nn
uainn1,uainn
uainn2,uáinn
